Experiment,Regular BLEU,Adaptive BLEU,CodeBLEU,Filename,Reference Language,Hypothesis Language
1,0.02110327902145879,0.3183649151783094,0.2683649151783094,Artificial Neural Network Control for Temperature Regulation in a Chemical Reactor Using Python.md,Python,Python
2,0.055209519273890686,0.34914661633660293,0.29914661633660294,Fuzzy Logic Control for Chemical Reactor Optimization Using Python.md,Python,Python
3,0.03337080687073945,0.04004496824488734,0.030033726183665503,MATLAB Distillation Column Modeling and Control.md,MATLAB,MATLAB
4,0.05269184035728745,0.06323020842874494,0.04742265632155871,Model Predictive Control for Aircraft Trajectory Using MATLAB.md,MATLAB,MATLAB
5,0.07202954372808265,0.2927578210740243,0.24275782107402433,Model Predictive Control for Continuous Cellulose Fiber Production Using Python.md,Python,Python
6,0.0457513938750058,0.05490167265000696,0.04117625448750522,Model Predictive Control for HVAC System Optimization Using C++.md,C#,MATLAB
7,0.06526098689067758,0.3676308855664908,0.31763088556649083,Model Predictive Control for Optimizing Robot Movement Using Python.md,Python,Python
8,0.044290710082978864,0.3515081595459847,0.3015081595459847,Model Predictive Control for Turbine Optimization in a Thermal Power Plant Using Python.md,Python,Python
9,0.06626239275085283,0.07951487130102339,0.05963615347576755,Model Predictive Control for Wind Farm Optimization Using C++.md,Text,Text
10,0.03758320834076655,0.33979468330860046,0.2897946833086005,Statistical Process Control for Steel Manufacturing Using Python.md,Python,Python
11,0.08255095979980928,0.09906115175977113,0.07429586381982836,CANOpen PDO Registration Using 61131-3 Structured Text.md,PLC-ST,PLC-ST
12,0.005066483494427184,0.006079780193312621,0.004559835144984466,"Communication Monitoring for OPC UA, Modbus, and Profinet Using IEC 61131-3 Structured Text.md",PLC-ST,PLC-ST
13,0.0314774551445204,0.03777294617342448,0.028329709630068357,EtherCAT State Machine Control Using IEC 61131-3 Structured Text.md,PLC-ST,PLC-ST
14,0.015483246701759412,0.018579896042111292,0.01393492203158347,Ethernet PowerLink Diagnostics Using IEC 61131-3 Structured Text.md,PLC-ST,PLC-ST
15,0.0057433621539322134,0.006892034584718656,0.005169025938538992,IO-Link Data Acquisition Using 61131-3 Structured Text.md,PLC-ST,PLC-ST
16,0.018124258899291788,0.021749110679150144,0.01631183300936261,Modbus Server for Parallel Client Connections using 61131-3 Structured Text.md,PLC-ST,PLC-ST
17,0.031222961236130126,0.03746755348335615,0.028100665112517114,OPC UA Client Implementation Using C and IEC 61131-3 Structured Text.md,PLC-ST,PLC-ST
18,0.02148999053863289,0.025787988646359467,0.0193409914847696,OPC UA Subscription Creation Using Open62541 and IEC 61131-3 Structured Text.md,PLC-ST,PLC-ST
19,0.006764750580249579,0.008117700696299494,0.006088275522224622,Profibus DP Diagnostics Using 61131-3 Structured Text.md,PLC-ST,PLC-ST
20,0.0017022348029586435,0.002042681763550372,0.0015320113226627793,Profibus DPV1 Diagnostics Using 61131-3 Structured Text.md,PLC-ST,PLC-ST
21,0.09136105283862668,0.10963326340635202,0.08222494755476402,Extended Cause & Process Action Matrix.md,Text,Text
22,0.019452196448235738,0.023342635737882884,0.017506976803412164,Interlock Cause & Effect Matrix.md,Text,Text
23,0.010584697748665045,0.012701637298398055,0.009526227973798542,Interlock Distillation Column.md,Text,PLC-ST
24,0.07380487127009364,0.08856584552411235,0.06642438414308427,Interlock Gas Turbine.md,Text,Text
25,0.009327232379711519,0.011192678855653821,0.008394509141740367,Interlock Gas Wellhead.md,Text,PLC-ST
26,0.003470916586427862,0.004165099903713434,0.003123824927785076,Interlock Overfill Protection.md,Text,PLC-ST
27,0.0017353431811693526,0.002082411817403223,0.0015618088630524173,Interlock Pressure Relief.md,Text,PLC-ST
28,0.03333817860914561,0.040005814330974734,0.03000436074823105,Interlock Prilling Station.md,Text,Text
29,0.001218959978663605,0.001462751974396326,0.0010970639807972445,Interlock Safety Doors.md,Text,PLC-ST
30,0.00040047040161000875,0.00048056448193201047,0.0003604233614490079,Motor Interlock Function Block Diagram.md,Text,PLC-ST
31,0.0529770564811953,0.06357246777743436,0.04767935083307577,Eigenvalue.md,PLC-ST,PLC-ST
32,0.01008169612218131,0.012098035346617571,0.00907352650996318,Fast Fourier Transform.md,PLC-ST,PLC-ST
33,0.007100174460631736,0.008520209352758082,0.006390157014568562,Linear Interpolation.md,PLC-ST,PLC-ST
34,0.048805550042075874,0.05856666005049105,0.043924995037868286,Linear Programming.md,PLC-ST,PLC-ST
35,0.0807123110214611,0.09685477322575332,0.072641079919315,Matrix Multiplication.md,PLC-ST,PLC-ST
36,0.03724266091184519,0.04469119309421423,0.03351839482066068,Mean and StdDev.md,PLC-ST,PLC-ST
37,0.04090650688881192,0.04908780826657431,0.03681585619993073,Natural Logarithm.md,PLC-ST,PLC-ST
38,0.020958188510649414,0.025149826212779298,0.018862369659584474,Poisson Distribution.md,PLC-ST,PLC-ST
39,0.05365108619163696,0.06438130342996434,0.048285977572473264,Sine Function.md,PLC-ST,PLC-ST
40,0.030462264299428478,0.03655471715931417,0.02741603786948563,Spline Interpolation.md,PLC-ST,PLC-ST
